Component,RelativePath,UnitType,Extension,RoutineCount,RoutinesSample,Bytes
Client,Client/Modules Sources/modGameLogic.bas,Module,.bas,58,Main;SetStatus;MenuState;GameInit;initRac;affrac;saveRac;useRac;GameLoop;GameDestroy;BltTile;BltItem;BltFog;BltFringeTile;BltPlayerPet;BltPlayerOmbre;BltPlayer;BltPlayerTop;BltMapNPCName;BltNpc,218044
Client,Client/Modules Sources/modSCapture.bas,Module,.bas,7,CaptureScreen;CaptureForm;CaptureClient;CreateBitmapPicture;CaptureWindow;CaptureArea;CaptureActiveWindow,5805
Client,Client/Modules Sources/modSound.bas,Module,.bas,7,PlayMidi;StopMidi;MakeMidiLoop;PlaySound;StopSound;PlayMP3;StopMP3,2498
Client,Client/Modules Sources/modText.bas,Module,.bas,7,SetFont;DrawText;DrawPlayerNameText;DrawTextInter;AddText;TextAdd;Parse,6232
Client,Client/Modules Sources/modTypes.bas,Module,.bas,73,iniOptTouche;ClearTempTile;ClearPlayer;ClearPlayerQuete;ClearItem;ClearItems;ClearMapItem;ClearMap;ClearMapItems;ClearMapNpc;ClearMapNpcs;GetPlayerName;SetPlayerName;GetPlayerGuild;SetPlayerGuild;GetPlayerGuildAccess;SetPlayerGuildAccess;GetPlayerClass;SetPlayerClass;GetPlayerSprite,33824
Client,Client/Modules Sources/modXp.bas,Module,.bas,1,InitXpStyle,590
Client,Client/Modules Sources/transparence.bas,Module,.bas,1,TransRegion,2005
Editeur,Editeur/Forms Sources/ctlProgressBar.ctl,UserControl,.ctl,28,Marquee;Scrolling;hwnd;Max;Min;value;BorderStyle;Appearance;State;Refresh;UserControl_Initialize;UserControl_InitProperties;UserControl_ReadProperties;UserControl_WriteProperties;UserControl_Resize;UserControl_Terminate;pvIsXP;pvComCtlVersion;pvSetRange;pvSetBorder,17856
Editeur,Editeur/Forms Sources/frmArena.frm,Form,.frm,6,cmdCancel_Click;cmdOk_Click;form_Load;scrlNum1_Change;scrlNum2_Change;scrlNum3_Change,9197
Editeur,Editeur/Forms Sources/frmAttributes.frm,Form,.frm,17,optArena_Click;OptBank_Click;optCBlock_Click;optClassChange_Click;optNPC_Click;optWarp_Click;optItem_Click;optKey_Click;optKeyOpen_Click;optNotice_Click;optScripted_Click;optShop_Click;optSign_Click;optSound_Click;optSprite_Click;cmdClear_Click;cmdClear2_Click,2230
Editeur,Editeur/Forms Sources/frmBClass.frm,Form,.frm,6,cmdCancel_Click;cmdOk_Click;Form_Load;scrlNum1_Change;scrlNum2_Change;scrlNum3_Change,9603
Editeur,Editeur/Forms Sources/frmBDir.frm,Form,.frm,6,cmdCancel_Click;cmdOk_Click;Combo1_Click;Combo2_Click;Combo3_Click;Form_Load,7033
Editeur,Editeur/Forms Sources/frmBMont.frm,Form,.frm,0,,4586
Editeur,Editeur/Forms Sources/frmBguilde.frm,Form,.frm,3,cmdCancel_Click;cmdOk_Click;Form_Load,4296
Editeur,Editeur/Forms Sources/frmBniv.frm,Form,.frm,4,cmdCancel_Click;cmdOk_Click;Form_Load;scrlNum1_Change,5156
Editeur,Editeur/Forms Sources/frmCarte.frm,Form,.frm,0,,627
Editeur,Editeur/Forms Sources/frmChars.frm,Form,.frm,6,Form_KeyPress;Form_QueryUnload;lstChars_DblClick;lstChars_KeyPress;picCancel_Click;picUseChar_Click,2678
Editeur,Editeur/Forms Sources/frmClassChange.frm,Form,.frm,5,cmdCancel_Click;cmdOk_Click;form_Load;scrlClass_Change;scrlReqClass_Change,7800
